completed_steps,training_loss,validation_loss,lr,memory_gib,tokens_per_second
52,2.0209052562713623,,9.999607496481404e-06,,48346.23154285237
53,1.9584254026412964,,9.999588583618195e-06,,24432.63742601698
54,1.967527985572815,,9.99956922577388e-06,,22403.254978091947
55,1.857061505317688,,9.999549422950371e-06,,22266.358400134068
56,2.011538028717041,,9.99952917514963e-06,,49020.259365304846
57,1.9803454875946045,,9.999508482373656e-06,,50616.04113261516
58,1.8951531648635864,,9.999487344624498e-06,,51257.88891823404
59,2.015714645385742,,9.999465761904246e-06,,50985.20546256198
60,1.9033639430999756,,9.999443734215034e-06,,50498.38008304033
61,1.9562063217163086,,9.99942126155904e-06,,24421.748084690345
62,2.0789883136749268,,9.999398343938485e-06,,21095.87988395762
63,1.9788405895233154,,9.999374981355639e-06,,31567.61830102716
64,1.9817771911621094,,9.99935117381281e-06,,51014.28891912596
65,1.9365408420562744,,9.999326921312353e-06,,50842.7345771717
66,1.9655500650405884,,9.999302223856666e-06,,50441.18399083146
67,1.929725170135498,,9.999277081448193e-06,,49706.52131640097
68,1.9415606260299683,,9.999251494089416e-06,,50143.83585889634
69,2.050668716430664,,9.999225461782872e-06,,23123.689804369656
70,2.0136613845825195,,9.99919898453113e-06,,20430.55560333869
71,2.011021614074707,,9.999172062336811e-06,,30387.2699180416
72,1.964734435081482,,9.999144695202577e-06,,50622.59617729569
73,1.9987813234329224,,9.999116883131134e-06,,50563.41691298688
74,1.9755945205688477,,9.999088626125233e-06,,50071.89284824026
75,1.9118554592132568,2.0376715660095215,9.999059924187669e-06,,46831.887099622225
76,1.929053544998169,,9.999030777321278e-06,,24955.838398123535
77,2.0067763328552246,,9.999001185528945e-06,,25415.644859297005
78,1.940814733505249,,9.998971148813597e-06,,23722.96520179741
79,1.892333745956421,,9.9989406671782e-06,,31603.11017412425
80,1.978524923324585,,9.998909740625773e-06,,43751.011822091554
81,2.0893707275390625,,9.998878369159373e-06,,51133.24147965609
82,1.9670484066009521,,9.998846552782103e-06,,51019.07647167053
83,1.9473613500595093,,9.998814291497107e-06,,51118.969543375446
84,1.9410560131072998,,9.998781585307577e-06,,43783.1649935827
85,1.8958954811096191,,9.998748434216749e-06,,28885.29018246538
86,2.0284252166748047,,9.9987148382279e-06,,21092.24261173288
87,1.9388562440872192,,9.998680797344353e-06,,31216.526014896837
88,2.1010866165161133,,9.998646311569472e-06,,44450.10705799198
89,1.9133579730987549,,9.998611380906672e-06,,48789.8232489529
90,1.9307321310043335,,9.998576005359403e-06,,51009.092812257804
91,2.000471353530884,,9.998540184931165e-06,,50072.679534956194
92,1.9975100755691528,,9.998503919625501e-06,,37329.83258539508
93,1.9829390048980713,,9.998467209445997e-06,,24288.633138761787
94,2.0423107147216797,,9.998430054396284e-06,,20246.848566702643
95,1.9749436378479004,,9.998392454480036e-06,,31048.370139074006
96,1.9004281759262085,,9.99835440970097e-06,,49690.97009878397
97,1.9880008697509766,,9.99831592006285e-06,,49092.89839985308
98,1.8974236249923706,,9.998276985569482e-06,,50726.83790777412
99,1.8363171815872192,,9.998237606224718e-06,,51028.841134587645
